address,building_match_confidence,created_at,id,latitude,location,longitude,name,postal_code,removed_at,removed_reason,source,type,updated_at
Sentosa Island Singapore,NOMINATIM,2026-08-15T18:21:33.835675+00:00,22ae9c08-fa57-4011-92cb-4a2b4d0a75b4,1.2489459,0101000020E6100000A8B7504365F5594095922FB2AEFBF33F,103.8343056,Sentosa Island (Festive Walk / Galleria),,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
1 Scotts Rd Singapore 228208,NOMINATIM,2026-08-15T18:21:33.835675+00:00,2cbbc249-430d-44d8-85bb-e3cad37afa17,1.3066335,0101000020E61000005CC3B1D334F559406FBA6587F8E7F43F,103.8313493,Shaw Centre,,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
8 Bayfront Ave Singapore 018955,NOMINATIM,2026-08-15T18:21:33.835675+00:00,c5306c35-0195-4486-80cb-b1b19652c539,1.2777305,0101000020E610000025E1E764CEF65940AEA069899571F43F,103.8563473,The Shoppes at Marina Bay Sands,,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
45 MAXWELL ROAD COMPETITION AND CONSUMER COMMISSION OF SINGAPORE (CCS) SINGAPORE 069118,LOW_REVIEW,2026-08-15T18:21:33.835675+00:00,c15d1608-bc09-457f-825f-81d40e0f387d,1.27955128,0101000020E6100000AF7F12E917F659405E18E2C20A79F43F,103.84520938,Singapore City Gallery,069118,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
80 Mandai Lake Rd Singapore 729826,NOMINATIM,2026-08-15T18:21:33.835675+00:00,5c13ed8e-c0f4-445e-8f5f-4a3a9110e67d,1.4037076,0101000020E610000041333E82D1F25940AD58B2199675F63F,103.7940374,Singapore Zoo,,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
10 EUNOS ROAD 8 GENERAL POST OFFICE SINGAPORE 408600,LOW_REVIEW,2026-08-15T18:21:33.835675+00:00,f29cccad-1ce9-439f-b4e1-5520509b5ee1,1.31893133,0101000020E6100000A01250353FF959406F3007BC571AF53F,103.89448293,SingPost Centre,408600,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
3 Temasek Boulevard Singapore 038983,NOMINATIM,2026-08-15T18:21:33.835675+00:00,f3664916-1aa9-4576-93ea-b7fc8c1c9a92,1.2951505,0101000020E61000005B8B602D08F75940685E0EBBEFB8F43F,103.8598741,Suntec City Shopping Mall,,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
391 Orchard Rd Singapore 238872,NOMINATIM,2026-08-15T18:21:33.835675+00:00,fd728208-573e-4a6f-a1bf-053cdaa27a21,1.3022662,0101000020E6100000BE8EEED668F55940A8FA3A1515D6F43F,103.8345239,Takashimaya (Ngee Ann City wing),,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
4 TAMPINES CENTRAL 5 GOLDEN VILLAGE (GV TAMPINES) SINGAPORE 529510,LOW_REVIEW,2026-08-15T18:21:33.835675+00:00,5400eb45-1961-4433-8ff7-11ae64c0e75a,1.35250468,0101000020E6100000F9EEE6AD75FC59405D0868F3DBA3F53F,103.94468257,Tampines Mall,529510,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
10 Tampines Central 1 Singapore 529536,NOMINATIM,2026-08-15T18:21:33.835675+00:00,334eaefe-7507-4f38-8be7-3cdc9d100f06,1.35422,0101000020E610000013494FEC7CFC5940096D3997E2AAF53F,103.9451247,Tampines 1,,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
163 TANGLIN ROAD TANGLIN MALL SINGAPORE 247933,HIGH,2026-08-15T18:21:33.835675+00:00,40eed81d-e84d-4197-8e29-54503721f513,1.30484344,0101000020E6100000E4901201BAF459406B855A84A3E0F43F,103.82385279,Tanglin Mall,247933,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
302 Tiong Bahru Rd Singapore 168732,NOMINATIM,2026-08-15T18:21:33.835675+00:00,0c0b2411-f6cb-4440-b440-0274a48573e4,1.2863599,0101000020E6100000B3791C06F3F459405C2C561EEE94F43F,103.827333,Tiong Bahru Plaza,,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
491 RIVER VALLEY ROAD VALLEY POINT SINGAPORE 248371,LOW_REVIEW,2026-08-15T18:21:33.835675+00:00,cba65651-e8e8-4ab8-92f7-e5ba98070f0a,1.29303601,0101000020E610000008A318B3EEF459406BE0C98646B0F43F,103.82706907,Valley Point Shopping Centre,248371,,,SassyMama,Nursing Room,2026-08-15T18:21:33.835675+00:00
